result:  train:40.21990919113159s, test:0.6071045398712158s
result:  train:34.604557514190674s, test:0.41494274139404297s
result:  train:26.773812532424927s, test:0.3528761863708496s
result:  train:26.159619569778442s, test:0.3533010482788086s
result:  train:26.141858339309692s, test:0.36801648139953613s
result:  train:25.85346269607544s, test:0.3472888469696045s
result:  train:26.593035459518433s, test:0.3622279167175293s
result:  train:29.050500869750977s, test:0.4208567142486572s
result:  train:6.47998046875s, test:0.36199951171875s
result:  train:3.822826623916626s, test:0.36998748779296875s
result:  train:28.030125379562378s, test:0.3762218952178955s
result:  train:35.378124475479126s, test:0.41964173316955566s
result:  train:7.168381690979004s, test:0.3999321460723877s
